,alpha,dtv,case
45,0.901,0.162506,small
24,0.481,0.166420,small
25,0.501,0.168068,small
26,0.521,0.169044,small
49,0.981,0.169281,small
27,0.541,0.169644,small
30,0.601,0.169667,small
29,0.581,0.169705,small
28,0.561,0.170037,small
43,0.861,0.172243,small
44,0.881,0.173143,small
31,0.621,0.174135,small
32,0.641,0.174909,small
35,0.701,0.175075,small
34,0.681,0.175239,small
33,0.661,0.175255,small
23,0.461,0.178309,small
36,0.721,0.181396,small
42,0.841,0.184768,small
38,0.761,0.189081,small
39,0.781,0.189269,small
22,0.441,0.190665,small
40,0.801,0.191923,small
46,0.921,0.194030,small
41,0.821,0.194940,small
37,0.741,0.196578,small
50,0.999,0.198402,small
48,0.961,0.201774,small
47,0.941,0.203739,small
13,0.261,0.227109,small
21,0.421,0.230884,small
20,0.401,0.231138,small
19,0.381,0.231523,small
16,0.321,0.240357,small
15,0.301,0.242226,small
11,0.221,0.242591,small
12,0.241,0.242674,small
10,0.201,0.243043,small
9,0.181,0.245253,small
14,0.281,0.245870,small
18,0.361,0.247234,small
17,0.341,0.248822,small
8,0.161,0.252121,small
7,0.141,0.352567,small
5,0.101,0.369081,small
6,0.121,0.386803,small
4,0.081,0.437598,small
3,0.061,0.451818,small
2,0.041,0.478757,small
1,0.021,0.482461,small
0,0.001,0.503788,small
