,alpha,dtv,case
76,0.501,0.026891,big
75,0.481,0.026973,big
74,0.461,0.027462,big
85,0.681,0.028789,big
80,0.581,0.028965,big
90,0.781,0.029175,big
84,0.661,0.029197,big
81,0.601,0.029261,big
88,0.741,0.029363,big
87,0.721,0.029563,big
77,0.521,0.030036,big
82,0.621,0.030057,big
79,0.561,0.030159,big
91,0.801,0.030359,big
83,0.641,0.030363,big
89,0.761,0.030415,big
78,0.541,0.030680,big
86,0.701,0.030682,big
93,0.841,0.030984,big
73,0.441,0.031025,big
92,0.821,0.031137,big
72,0.421,0.031785,big
94,0.861,0.032676,big
98,0.941,0.034004,big
68,0.341,0.034085,big
71,0.401,0.035188,big
69,0.361,0.035268,big
95,0.881,0.035418,big
97,0.921,0.035782,big
96,0.901,0.035828,big
70,0.381,0.036433,big
66,0.301,0.037103,big
62,0.221,0.038197,big
67,0.321,0.038212,big
63,0.241,0.039124,big
60,0.181,0.040105,big
99,0.961,0.040867,big
64,0.261,0.041016,big
61,0.201,0.041474,big
65,0.281,0.041508,big
58,0.141,0.042888,big
56,0.101,0.043819,big
57,0.121,0.044433,big
101,0.999,0.047606,big
100,0.981,0.048429,big
59,0.161,0.048735,big
55,0.081,0.055883,big
54,0.061,0.093218,big
53,0.041,0.102864,big
52,0.021,0.168229,big
51,0.001,0.524867,big
