dtv,case
0.15257620943444142,small
0.15028943660116673,small
0.29081158924950035,small
0.22447642714020438,small
0.18705712791151966,small
0.34067856585404205,small
0.3001362647822464,small
0.13273686604430546,small
0.2045776448308868,small
0.15588593880187807,small
0.1331137630264579,small
0.37296817988757924,small
0.0846217193913931,small
0.29603751533694367,small
0.2837490833494887,small
0.16607866364519405,small
0.17499657230196827,small
0.3252833266256688,small
0.15307365615616148,small
0.17404469302450468,small
0.19629418947328078,small
0.39838295096111564,small
0.2322292455891093,small
0.24506270321030754,small
0.1709893913230638,small
0.37846973140461154,small
0.19858557263812637,small
0.1901527916944275,small
0.16942917469079685,small
0.21533778810107157,small
0.15984371242253853,small
0.29363374857427554,small
0.1512983144545268,small
0.20276924470214328,small
0.08465902420748783,small
0.14495693680693095,small
0.13624868033453832,small
0.2328589515354107,small
0.16882481767998225,small
0.19107517131319524,small
0.25999243673580663,small
0.5839844310008777,small
0.17973438817257653,small
0.15765219154243462,small
0.2440848098864341,small
0.11383441771598511,small
0.2701896956285532,small
0.4241897776121332,small
0.1947921580204772,small
0.313157631871267,small
0.2346399999848346,small
0.15839824632145388,small
0.11881560200918337,small
0.20017483835572683,small
0.1202279525122179,small
0.5210276631935629,small
0.38382856607535626,small
0.3140910053904592,small
0.1587755741455508,small
0.2741789449858575,small
0.20929209283963554,small
0.16475686842036794,small
0.277914832242988,small
0.15052199190379598,small
0.1999794010644344,small
0.3623631549323958,small
0.36787755716991427,small
0.22575697265193823,small
0.21406285341358247,small
0.18289342646189047,small
0.13983924771083606,small
0.17893877250011,small
0.3491536077452826,small
0.24712556302293548,small
0.10289868606498709,small
0.23220382725874764,small
0.13172406085748758,small
0.17812124257609768,small
0.20584589599155317,small
0.2688115910906929,small
0.16189773384826364,small
0.34711564486863117,small
0.14559336865122924,small
0.18857269658982959,small
0.23635274983417678,small
0.22290586047746289,small
0.3206697375598282,small
0.34394218601870497,small
0.2748174727693,small
0.19857774793512645,small
0.1480712658486945,small
0.23681925806546955,small
0.2001810482848413,small
0.21109850420148352,small
0.21273865423754607,small
0.2315674424133392,small
0.1565329074019287,small
0.19497922272780313,small
0.10400992818494784,small
0.2589930065437799,small
0.192249786533839,small
0.18392169820757692,small
0.1833526758183726,small
0.17495804163968892,small
0.45769184074167046,small
0.35875765524394876,small
0.11696692063023094,small
0.166764147211175,small
0.21286244968136414,small
0.2887512536202775,small
0.4337908206582632,small
0.11317633077122907,small
0.30654137247159086,small
0.2720137099771604,small
0.21749734443356591,small
0.17001136213503035,small
0.10647754117843634,small
0.13325936564137025,small
0.1590695880213129,small
0.15675341635652995,small
0.17654428203530242,small
0.20982996435641627,small
0.10753097239961873,small
0.25416857373928964,small
0.2277472119334994,small
0.4369667008916463,small
0.11765142953649765,small
0.1383324589886034,small
0.114723894763193,small
0.27774188277944584,small
0.15355295364638416,small
0.1778694399661285,small
0.1339417709661649,small
0.3335839785593523,small
0.15336118089473333,small
0.21151917904558787,small
0.1658695006156661,small
0.14039265535444836,small
0.22744444515449697,small
0.14427831305601876,small
0.075850917218661,small
0.14424167921320313,small
0.24864806607444942,small
0.11796292914597348,small
0.16160668564985348,small
0.27991480350695125,small
0.25020253886799665,small
0.16780743710254026,small
0.10760887693109224,small
0.2596970341849837,small
0.18148327857372915,small
0.18140464929826827,small
0.1745287277354226,small
0.341167244624235,small
0.2586515594791341,small
0.2078272585833173,small
0.23714380988668352,small
0.18598804896255514,small
0.26048589827449353,small
0.15148937242889152,small
0.18439778488598618,small
0.18399918966706805,small
0.2171004818489751,small
0.15809385045011676,small
0.17564506440950275,small
0.2340365186903068,small
0.4211760114900765,small
0.1472352491218028,small
0.2945381981698113,small
0.1279648392081925,small
0.14309582971174592,small
0.2485632944375944,small
0.1426154080333497,small
0.11383203182726909,small
0.13603210890411255,small
0.18105218694682373,small
0.21583015459927585,small
0.15928878073930858,small
0.0963900065290651,small
0.2651341262822593,small
0.13012771525070643,small
0.23578257940440833,small
0.37170144985579123,small
0.12885825177984803,small
0.38821936313538585,small
0.286691779919053,small
0.18526677231159971,small
0.12212519955365844,small
0.13181907566733875,small
0.179057279053377,small
0.3146581877870897,small
0.20188487616732545,small
0.14122739705969323,small
0.1622384112743866,small
0.2596054739550968,small
0.08939127528045179,small
0.17253404127331293,small
0.1893711037564096,small
0.1654947474835055,small
0.19119002674453872,small
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
0.0,big
