iteration,norm,normB
1,3.089871629535165,0.48118317805376803
2,0.4108257931633675,0.004348600900773778
3,0.13260629549322267,0.002445303454579023
4,0.05046474326875681,0.004276128929596053
5,0.029173879520289162,0.0039963496461093975
6,0.021964269085085177,0.0034377232686881357
7,0.018304329241180636,0.0029717408225654984
8,0.01587315752736948,0.0026037468871259123
9,0.014027404578078034,0.0023056692921718212
10,0.012524236960672269,0.0020570614439788023
11,0.011248979695237804,0.0018447032772727027
12,0.010139130857977144,0.0016599281038867611
13,0.009157186435692563,0.0014969045583544604
14,0.008279044471492978,0.0013516092123288066
15,0.007488343818964036,0.0012211942172069127
16,0.006773406841633665,0.0011035851173478199
17,0.006125473953626634,0.0009972193709190287
18,0.005537643954147962,0.0009008747145488361
19,0.005004225893883575,0.0008135566011246122
20,0.004520340271306669,0.000734425010795079
21,0.004081674252565853,0.0006627475175109176
22,0.003684332645857686,0.0005978697030920371
23,0.003324748169556857,0.0005391968459704881
24,0.00299962793061867,0.0004861827724763322
25,0.0027059214630656718,0.00043832312415880174
26,0.0024408010886108017,0.00039515124127315206
27,0.0022016488686649113,0.0003562355113482258
28,0.0019860466937762166,0.000321177469771767
29,0.001791767525377058,0.00028961022965707356
30,0.0016167667381052448,0.00026119700648777214
31,0.0014591730889176146,0.0002356296216479987
32,0.0013172791825396429,0.0002126269408654983
33,0.0011895314932252675,0.00019193324474594793
34,0.0010745200956682808,0.00017331654995327733
35,0.0009709682906049647,0.00015656690862289347
36,0.0008777223080372568,0.0001414947152658421
37,0.000793741249443057,0.00012792904801557826
38,0.0007180874002866666,0.00011571606666885008
39,0.0006499170119698231,0.0001047174848750634
40,0.0005884716218506545,9.480912881885078e-05
41,0.0005330699530360362,8.58795901959635e-05
42,0.00048310041313355046,7.782897743781688e-05
43,0.00043801419310291373,7.056776600786805e-05
44,0.000397318953604223,6.401574616290679e-05
45,0.00036057307612383775,5.810106478057444e-05
46,0.00032738044927356225,5.275935658580185e-05
47,0.0002973857562918869,4.7932959294611325e-05
48,0.000270270227458932,4.357020673451922e-05
49,0.00024574782038731406,3.9624793807311366e-05
50,0.00022356179152081774,3.605520718737624e-05
51,0.00020348162340832609,3.282421581237286e-05
52,0.0001853002740760157,2.989841549795092e-05
53,0.0001688317169301722,2.724782234693353e-05
54,0.00015390874195034908,2.4845510003784728e-05
55,0.0001403809912582609,2.2667286191005242e-05
56,0.00012811320455706596,2.0691404368712243e-05
57,0.00011698365215689161,1.889830673676646e-05
58,0.00010688273549927657,1.7270395168226052e-05
59,9.771173710220176e-05,1.579182700942624e-05
60,8.938170370121582e-05,1.4448332995902133e-05
61,8.181244810591263e-05,1.3227054836069137e-05
62,7.493165679964677e-05,1.2116400269623843e-05
63,6.86740917689092e-05,1.1105913662320019e-05
64,6.298087627341476e-05,1.018616040414601e-05
65,5.779885541795796e-05,9.348623581515476e-06
66,5.308002341257914e-05,8.585611562840884e-06
67,4.8781010289358706e-05,7.890175292914231e-06
68,4.4862621659734085e-05,7.2560342294407265e-06
69,4.128942581876251e-05,6.677509975654349e-06
70,3.8029383114109845e-05,6.149466771444645e-06
71,3.5053513087662436e-05,5.667258098819707e-06
72,3.23355953708386e-05,5.226678746622234e-06
73,2.9851900776157114e-05,4.823921744560956e-06
74,2.7580949405619467e-05,4.455539653952479e-06
75,2.550329295244458e-05,4.118409749094377e-06
76,2.3601318673064936e-05,3.809702684015525e-06
77,2.185907279185737e-05,3.5268542763130077e-06
78,2.0262101324641918e-05,3.2675400873796583e-06
79,1.8797306541954804e-05,3.0296525076152735e-06
80,1.745281747074482e-05,2.811280090658108e-06
81,1.6217873014938546e-05,2.6106889053339518e-06
82,1.5082716407132833e-05,2.4263057022149957e-06
83,1.4038499871430468e-05,2.2567027105010215e-06
84,1.3077198460590942e-05,2.100583900892935e-06
85,1.2191532162105814e-05,1.95677257058967e-06
86,1.1374895459865386e-05,1.824200114576723e-06
87,1.0621293611960906e-05,1.7018958726428707e-06
88,9.925284993972427e-06,1.5889779396297413e-06
89,9.281928914605233e-06,1.484644850547942e-06
90,8.686738380041142e-06,1.3881680511696238e-06
91,8.135637324760348e-06,1.2988850825583038e-06
92,7.6249218935537835e-06,1.21619340655305e-06
93,7.1512253706621915e-06,1.139544814494886e-06
94,6.711486434615453e-06,1.0684403612590915e-06
95,6.30292040309547e-06,1.002425776690654e-06
96,5.922993198948092e-06,9.410873065170319e-07
97,5.569397779685459e-06,8.8404794656999e-07
98,5.2400327983263436e-06,8.309640288115057e-07
99,4.932983283811719e-06,7.815221282894718e-07
100,4.646503160448147e-06,7.35436262750355e-07
101,4.378999426549401e-06,6.92445352855398e-07
102,4.12901783689859e-06,6.523109241143578e-07
103,3.895229954243395e-06,6.14815022903486e-07
104,3.6764214350737922e-06,5.79758329874125e-07
105,3.4714814339940936e-06,5.469584519735372e-07
106,3.279393024498569e-06,5.162483737933393e-07
107,3.09922453440774e-06,4.874750559283154e-07
108,2.9301217135310236e-06,4.6049816607876495e-07
109,2.771300651812288e-06,4.35188928776601e-07
110,2.622041374745502e-06,4.114290845286165e-07
111,2.481682056066416e-06,3.8910994647076814e-07
112,2.3496137802099637e-06,3.6813154636251406e-07
113,2.225275806779007e-06,3.4840186038661987e-07
114,2.108151291326917e-06,3.29836108534482e-07
115,1.9977634078668e-06,3.1235611850703067e-07
116,1.8936718427514384e-06,2.958897504926305e-07
117,1.7954696214255744e-06,2.8037037489600553e-07
118,1.7027802337047223e-06,2.6573639838797694e-07
119,1.6152550298343955e-06,2.5193083472538235e-07
120,1.5325708604287108e-06,2.389009147980836e-07
121,1.4544279371312349e-06,2.2659773274766149e-07
122,1.380547888881868e-06,2.1497592416966085e-07
123,1.3106720029960871e-06,2.039933744917279e-07
124,1.2445596210587302e-06,1.9361095255947536e-07
125,1.1819866844674022e-06,1.837922699353039e-07
126,1.1227444118663802e-06,1.7450345985095665e-07
127,1.066638093091571e-06,1.6571297769818805e-07
128,1.013485992926415e-06,1.5739141811870364e-07
129,9.631183482457761e-07,1.4951134848951253e-07
130,9.153764577107657e-07,1.4204715662362582e-07
131,8.701118469939214e-07,1.34974912477694e-07
132,8.271855058094713e-07,1.282722407248096e-07
133,7.864671926267612e-07,1.2191820557161187e-07
134,7.478347960208633e-07,1.1589320293313931e-07
135,7.111737487165182e-07,1.1017886498033881e-07
136,6.76376492408996e-07,1.0475796953855376e-07
137,6.433419857813679e-07,9.961435837472838e-08
138,6.11975249432574e-07,9.473286279980197e-08
139,5.821869510265545e-07,9.009923344151378e-08
140,5.538930235522718e-07,8.570007715924175e-08
141,5.270143082451977e-07,8.152279850522575e-08
142,5.014762318455936e-07,7.755554547822092e-08
143,4.772085036143735e-07,7.378716011010519e-08
144,4.5414483938556436e-07,7.020713181503289e-08
145,4.322227009258194e-07,6.680555576542689e-08
146,4.113830610128269e-07,6.357309266959516e-08
147,3.9157018080771444e-07,6.050093331018007e-08
148,3.727314044788201e-07,5.758076411034818e-08
149,3.548169709288415e-07,5.48047364578122e-08
150,3.3777983513779737e-07,5.216543712236049e-08
151,3.215755053760168e-07,4.965586184502832e-08
152,3.061618883185325e-07,4.726939036658564e-08
153,2.9149914845942386e-07,4.499976234066093e-08
154,2.7754957303657317e-07,4.284105681073628e-08
155,2.6427745121533425e-07,4.078767111877813e-08
156,2.5164895412578447e-07,3.88343022866368e-08
157,2.396320298703577e-07,3.697592995767046e-08
158,2.2819630107362997e-07,3.520779922515091e-08
159,2.173129700175349e-07,3.352540581378701e-08
160,2.0695473051479752e-07,3.192448160158329e-08
161,1.9709568396921406e-07,3.0400981292460385e-08
162,1.8771126151301138e-07,2.8951069485823434e-08
163,1.7877815244092587e-07,2.7571109411307292e-08
164,1.7027423230301526e-07,2.625765143679452e-08
165,1.6217850160305678e-07,2.5007423579483747e-08
