iteration,norm,normB
1,3.50116837299709,0.5374600549196575
2,0.28336100765223227,0.003862278603237369
3,0.10630997064014373,0.0028479160573657643
4,0.07984534268840981,0.0026542959559837653
5,0.06671962288981528,0.0023474642951311266
6,0.052818897959570545,0.0017780663793828572
7,0.04009338418998923,0.0013312362032223664
8,0.02886816284117059,0.0010961772616505448
9,0.02014087713110343,0.001001731110553038
10,0.01408510843987307,0.0009481968484056886
11,0.010183068001629445,0.0008937777193101139
12,0.007779678668008777,0.0008360602949980063
13,0.00635513126462116,0.0007833068948546129
14,0.0055895447179932995,0.0007451874566845136
15,0.005370316066293515,0.0007340714207125463
16,0.005827630798132137,0.0007713559955701356
17,0.007365701615503401,0.0008960643028123386
18,0.010411387303317702,0.0011626685294913255
19,0.014625668299104253,0.0015989329509938008
20,0.018261689264501366,0.0021326905647811875
21,0.019605382859708156,0.0026027007430779905
22,0.019296140367627567,0.0028973791960771986
23,0.01892366405328693,0.0030242630919998692
24,0.018883171521158936,0.003044687977719342
25,0.01894416540659959,0.0030107067782648234
26,0.018979558720859387,0.002954703174845535
27,0.018999168074006853,0.002896716168036324
28,0.019042514024164518,0.0028486289704703367
29,0.01913020952708068,0.0028153481037989717
30,0.019260445073123897,0.002796076054205353
31,0.019415717191180102,0.0027862631342855586
32,0.01956778183603564,0.0027794602476086372
33,0.019680432503065642,0.0027685198901869156
34,0.01971130015482229,0.002746186194366357
35,0.01961410563615004,0.0027054268308138126
36,0.0193427882038096,0.0026398598980476484
37,0.018858167165170782,0.0025444605893575854
38,0.018136375978720323,0.0024165018574160775
39,0.017176747932076172,0.002256463199417402
40,0.016005954847124852,0.0020685188380676453
41,0.014675844919880398,0.0018602776162614362
42,0.013254720559800575,0.0016417026437798338
43,0.01181467445088821,0.0014234734491769241
44,0.010419318565302366,0.0012152805215913099
45,0.00911570149683228,0.001024536979304057
46,0.00793188880899395,0.0008557796666775669
47,0.006879186763695434,0.0007107520653332706
48,0.005956707538671876,0.0005889576796901491
49,0.005156143313258418,0.0004884079095513336
50,0.00446555049916733,0.00040633823327300775
51,0.003871850604486154,0.00033976567717176203
52,0.0033622597368901923,0.0002858525143730133
53,0.0029249961093373296,0.00024209937158564237
54,0.0025495621225426987,0.00020641466780237216
55,0.0022267975558782553,0.00017710788850987637
56,0.0019488179066156372,0.00015284398285436221
57,0.001708899776354311,0.00013258367940045625
58,0.0015013462952138807,0.00011552395356393101
59,0.0013213503210888983,0.00010104547406513907
60,0.0011648649483702578,8.866933219045036e-05
61,0.0010284861652257126,7.802294169135026e-05
62,0.0009093496489090118,6.88139210804969e-05
63,0.0008050419327167909,6.0810452061035255e-05
64,0.0007135251415637282,5.382666731438548e-05
65,0.0006330739477392852,4.771183463069233e-05
66,0.0005622231814656124,4.234235425984821e-05
67,0.0004997245204459134,3.761581750785085e-05
68,0.0004445107900591411,3.3446566815554777e-05
69,0.0003956665703443792,2.976234802905974e-05
70,0.0003524039886528097,2.6501758929794198e-05
71,0.00031404275507345965,2.3612281375535068e-05
72,0.0002799936597440307,2.1048744557369608e-05
73,0.00024974489211898897,1.8772109862162982e-05
74,0.00022285066141496186,1.674849835964662e-05
75,0.00019892169627098763,1.4948403561471807e-05
76,0.00017761728249027605,1.3346047433771272e-05
77,0.0001586385632614776,1.1918848565626364e-05
78,0.00014172287911442996,1.0646979199425043e-05
79,0.00012663896728087304,9.512993476633677e-06
80,0.00011318287418866054,8.501513353732543e-06
81,0.00010117446208561913,7.598961666771108e-06
82,9.045441268525463e-05,6.793334081795538e-06
83,8.088164830101304e-05,6.074003361583218e-06
84,7.233110509340984e-05,5.431550677738167e-06
85,6.469180447947484e-05,4.857619697608403e-06
86,5.7865178001756065e-05,4.344789956662119e-06
87,5.176360846514204e-05,3.886466643172516e-06
88,4.6309156275381585e-05,3.4767844125662594e-06
89,4.143244491939518e-05,3.110523245031069e-06
90,3.707168364684373e-05,2.78303467607047e-06
91,3.31718087922505e-05,2.490176997813154e-06
92,2.968372799820891e-05,2.2282582330146765e-06
93,2.65636539200934e-05,1.993985873008009e-06
94,2.3772515948914383e-05,1.784422508060171e-06
95,2.1275440110781778e-05,1.5969466082709455e-06
96,1.9041288674423842e-05,1.4292178155665835e-06
97,1.704225216076582e-05,1.279146190607974e-06
98,1.525348742126929e-05,1.1448649415797858e-06
99,1.365279628717033e-05,1.0247062142676186e-06
100,1.2220340006347948e-05,9.171795829331135e-07
101,1.0938385296386548e-05,8.209529280865104e-07
102,9.791078349943993e-06,7.348354225678678e-07
103,8.764243605741994e-06,6.577623858185708e-07
104,7.845204462251153e-06,5.887817921362621e-07
105,7.0226234711988025e-06,5.270422469438479e-07
106,6.2863598219400654e-06,4.7178226836864115e-07
107,5.6273422034334905e-06,4.2232072393217147e-07
108,5.037455339383886e-06,3.7804829952329573e-07
109,4.509438690941663e-06,3.38419884304054e-07
110,4.0367960040713155e-06,3.029477702394349e-07
111,3.613714510231388e-06,2.711955806855644e-07
112,3.234992738217283e-06,2.427728452342531e-07
113,2.8959760085453233e-06,2.1733015191985247e-07
114,2.592498773996514e-06,1.9455481643671293e-07
115,2.3208330761638865e-06,1.741670099426083e-07
116,2.077642467930455e-06,1.5591629738450044e-07
117,1.8599407988795871e-06,1.3957854244231874e-07
118,1.6650553712298466e-06,1.2495314018328292e-07
119,1.4905939721874663e-06,1.1186054136271867e-07
120,1.3344153968157228e-06,1.0014003936850123e-07
121,1.1946030681072802e-06,8.964778894673196e-08
122,1.069441447084447e-06,8.025503505851934e-08
123,9.57394915718579e-07,7.184652786206721e-08
124,8.570888913333315e-07,6.431910416643361e-08
125,7.672929231133943e-07,5.758041905678498e-08
126,6.86905565238204e-07,5.1547810442882835e-08
127,6.149408438837866e-07,4.614728252134696e-08
128,5.505161423760686e-07,4.1312596908436494e-08
129,4.928413593371052e-07,3.6984458724162595e-08
